Laptop_name,Year,CPU,GPU,Memory,Storage,Display,Weight(kg),Price
Apple Macbook Air 13 inch 2011-07,2011,Intel Core i5-2557M,Intel HD Graphics 3000,"4 GB  ,, DDR3 1333MHz","Samsung SM256C, 256 GB  ","13.30 inch 16:10, 1440 x 900 pixel, LP133WP1-TJA3 , LED, glossy: yes","1.33 kg ( = 46.91 oz / 2.93 pounds), Power Supply: 190 g ( = 6.7 oz / 0.42 pounds)",1400 Euro
Apple MacBook Pro 17 inch 2011-02 MC725D/A,2011,Intel Core i7-2720QM,AMD Radeon HD 6750M,"4 GB  ,, 2x 2GB DDR3 1333 Mhz, 2 Slots, max. 8GB","Toshiba MK7559GSXF, 750 GB  ","17.30 inch 16:10, 1920 x 1200 pixel, LTN170CT10, covers sRGB, glossy: yes","2.925 kg ( = 103.18 oz / 6.45 pounds), Power Supply: 317 g ( = 11.18 oz / 0.7 pounds)",2499 Euro
Apple Macbook Pro 13 inch 2011-02 MC724LL/A,2011,Intel Core i7-2620M,Intel HD Graphics 3000,"4 GB  ,, 2x 2GB PC3-10700 (667MHz) DDR3 Micron",", 500 GB  ","13.30 inch 16:10, 1280 x 800 pixel, LP133WX3-TLA3, glossy: yes",2.04 kg ( = 71.96 oz / 4.5 pounds) ( = 0 oz / 0 pounds),1449 Euro
Apple MacBook Pro 15 inch 2011-02 MC721LL/A,2011,Intel Core i7-2635QM,AMD Radeon HD 6490M,"4 GB  ,, manufacturer: Hynix, DDR3-10660, 1333 MHz, maximum 8 GB, 2 slots",", 500 GB  ","15.40 inch 16:10, 1440 x 900 pixel, LP154WP4-TLA1, LED, manufacturer: LG, glossy: yes","2.515 kg ( = 88.71 oz / 5.54 pounds), Power Supply: 321 g ( = 11.32 oz / 0.71 pounds)",
Apple MacBook Pro 17 inch 2011-02 MC725D/A 2.3GHz Non Glare,2011,Intel Core i7-2820QM,AMD Radeon HD 6750M,"4 GB  ,, 2x 2GB DDR3 1333 Mhz, 2 slots, max. 8GB","Toshiba MK7559GSXF, 750 GB  ","17.30 inch 16:10, 1920 x 1200 pixel, LTN170CT10, via sRGB, glossy: no","2.9 kg ( = 102.29 oz / 6.39 pounds), Power Supply: 317 g ( = 11.18 oz / 0.7 pounds)",2499 Euro
Apple Macbook Pro 13 inch 2011-02 MC700D/A,2011,Intel Core i5-2415M,Intel HD Graphics 3000,"4 GB  ,, 2 x 2GB DDR3-10700, in 2 slots","Hitachi Travelstar 5K500.B HTS545032B9A302, 320 GB  ","13.30 inch 16:10, 1280 x 800 pixel, LP133WX3-TLA3, glossy: yes","2.04 kg ( = 71.96 oz / 4.5 pounds), Power Supply: 380 g ( = 13.4 oz / 0.84 pounds)",1149 Euro
Apple Macbook Pro 13 inch 2011-02 MC724LL/A,2011,Intel Core i7-2620M,Intel HD Graphics 3000,"4 GB  ,, 2x 2GB PC3-10700 (667MHz) DDR3 Micron",", 500 GB  ","13.30 inch 16:10, 1280 x 800 pixel, LP133WX3-TLA3, glossy: yes",2.04 kg ( = 71.96 oz / 4.5 pounds) ( = 0 oz / 0 pounds),1449 Euro
Apple Macbook Pro 15 inch 2011-02 MC723LL/A,2011,Intel Core i7-2720QM,AMD Radeon HD 6750M,4 GB  ,"Toshiba MK7559GSXF, 750 GB  ","15.40 inch 3:2, 1440 x 900 pixel, glossy: yes",2.6 kg ( = 91.71 oz / 5.73 pounds) ( = 0 oz / 0 pounds),1800 Euro
Apple MacBook Pro 17 inch 2011-02 MC725D/A,2011,Intel Core i7-2720QM,AMD Radeon HD 6750M,"4 GB  ,, 2x 2GB DDR3 1333 Mhz, 2 Slots, max. 8GB","Toshiba MK7559GSXF, 750 GB  ","17.30 inch 16:10, 1920 x 1200 pixel, LTN170CT10, covers sRGB, glossy: yes","2.925 kg ( = 103.18 oz / 6.45 pounds), Power Supply: 317 g ( = 11.18 oz / 0.7 pounds)",2499 Euro
Apple MacBook Pro 15 inch 2011-02 MC721LL/A,2011,Intel Core i7-2635QM,AMD Radeon HD 6490M,"4 GB  ,, manufacturer: Hynix, DDR3-10660, 1333 MHz, maximum 8 GB, 2 slots",", 500 GB  ","15.40 inch 16:10, 1440 x 900 pixel, LP154WP4-TLA1, LED, manufacturer: LG, glossy: yes","2.515 kg ( = 88.71 oz / 5.54 pounds), Power Supply: 321 g ( = 11.32 oz / 0.71 pounds)",
Apple MacBook Pro 15 inch 2011-02 MC721LL/A - Non Glare,2011,Intel Core i7-2635QM,AMD Radeon HD 6490M,"4 GB  ,, manufacturer: Hynix, DDR3-10600, 1333 MHz, up to 8 GB, 2 slots","Toshiba MK5065GSXF, 500 GB  ","15.40 inch 16:10, 1680 x 1050 pixel, LTN154MT07, manufacturer: Samsung, LED, hi-res anti-glare, WSXGA+, glossy: no","2.446 kg ( = 86.28 oz / 5.39 pounds), Power Supply: 321 g ( = 11.32 oz / 0.71 pounds)",1899 Euro
Apple MacBook Pro 15 inch 2011-02 MC721LL/A - Non Glare,2011,Intel Core i7-2635QM,AMD Radeon HD 6490M,"4 GB  ,, manufacturer: Hynix, DDR3-10600, 1333 MHz, up to 8 GB, 2 slots","Toshiba MK5065GSXF, 500 GB  ","15.40 inch 16:10, 1680 x 1050 pixel, LTN154MT07, manufacturer: Samsung, LED, hi-res anti-glare, WSXGA+, glossy: no","2.446 kg ( = 86.28 oz / 5.39 pounds), Power Supply: 321 g ( = 11.32 oz / 0.71 pounds)",1899 Euro
