Laptop_name,Year,OS,CPU,CPU_Cores,CPU_Threads,CPU_Default_Clock,CPU_Boosted_Clock,CPU_Transistor_Size(nm),CPU_L3(MB),CPU_TDP,GPU,GPU_Memory(GB),GPU_Memory_Type,GPU_Bus_Width(bit),GPU clock,GPU memory clock,Memory,Storage,Display,Weight(kg),Price
Acer Aspire 5750G-2634G64Mnkk,2011,Windows,core i7-2630qm,4,8,2.0,2.9,32,6.0,45 W,geforce gt 540m,1.0,DDR3,128,672 MHz,900 MHz,4 GB  ,,"15.60 inch 16:9, 1366 x 768 pixel, glossy: yes",0.8,2500 Euro
Acer Aspire 7750G-2634G50Bnkk,2011,Windows,core i7-2630qm,4,8,2.0,2.9,32,6.0,45 W,radeon hd 6850m,1.0,GDDR3,128,675 MHz,800 MHz,"4 GB  ,, four RAM slots, two occupied","Seagate Momentus 5400.6 ST9500325AS, 500 GB  ","17.30 inch 16:9, 1600 x 900 pixel, AUO B173RW01 V3",3.197,999 Euro
Acer TravelMate 5742G-5464G32N,2011,Windows,core i5-460m,2,4,2.534,2.8,32,3.0,35 W,mobility radeon hd 5470,0.5,GDDR5,64,750 MHz,800 MHz,4 GB  ,,"15.60 inch 16:9, 1366 x 768 pixel, glossy: yes",2.8,600 Euro
Acer Aspire 5750G-2634G64,2011,Windows,core i7-2630qm,4,8,2.0,2.9,32,6.0,45 W,geforce gt 540m,1.0,DDR3,128,672 MHz,900 MHz,"4 GB  ,, DDR3,2 USB 2.0, 1 USB 3.0 / 3.1 Gen1, 1 VGA, 1 HDMI, 1 Kensington Lock, Audio Connections: Headphone, microphone, Card Reader: 5in1 (Secure Digital, MultiMediaCard, Memory Stick, Memory Stick PRO, xD-Picture Card) ","Toshiba MK6465GSX, 640 GB  ","15.60 inch 16:9, 1366 x 768 pixel, LGD0250, WXGA glare type LED TFT, glossy: yes",2.54,799 Euro
Acer Aspire TimelineX 3830TG-2414G75nbb,2011,Windows,core i5-2410m,2,4,2.3,2.9,32,3.0,35 W,geforce gt 540m,1.0,DDR3,128,672 MHz,900 MHz,4 GB  ,,"13.30 inch 16:9, 1366 x 768 pixel, glossy: yes",1.9,800 Euro
Acer Aspire 5253-E353G50Mnrr,2011,Windows,e-350,2,2,1.6,,40,,18 W,radeon hd 6310,,,,488 MHz,System Shared,3 GB  ,,"15.60 inch 16:9, 1366 x 768 pixel, glossy: yes",2.2,350 Euro
Acer TravelMate TimelineX 8372T-5464G32Mnkk,2011,Windows,core i5-460m,2,4,2.534,2.8,32,3.0,35 W,gma,,,,,System Shared,4 GB  ,,"13.30 inch 16:9, 1366 x 768 pixel, glossy: yes",1.8,900 Euro
Acer Aspire One 522-C5Dkk,2011,Windows,c-50,2,2,1.0,,40,,9 W,radeon hd 6250,,,,500 MHz,System Shared,"1024 MB  ,, manufacturer: Kingston, DDR3-10600S, 1066 MHz, maximum 2 GB, 1 bank","Toshiba MK2565GSX, 250 GB  ","10.10 inch 16:9, 1280 x 720 pixel, LTN101AT01, manufacturer: Samsung, diagonal: 25.6 centimeters, WXGA, LED, HD, glossy: yes",1.17,299 Euro
Acer Aspire One 522-C5Dkk,2011,Windows,c-50,2,2,1.0,,40,,9 W,radeon hd 6250,0.5,GDDR3,64,650 MHz,500 MHz,"1024 MB  ,, manufacturer: Kingston, DDR3-10600S, 1066 MHz, maximum 2 GB, 1 bank","Toshiba MK2565GSX, 250 GB  ","10.10 inch 16:9, 1280 x 720 pixel, LTN101AT01, manufacturer: Samsung, diagonal: 25.6 centimeters, WXGA, LED, HD, glossy: yes",1.17,299 Euro
Acer Aspire TimelineX 5830T-2414G75Mn,2011,Windows,core i5-2410m,2,4,2.3,2.9,32,3.0,35 W,geforce gt 540m,1.0,DDR3,128,672 MHz,900 MHz,4 GB  ,,"15.60 inch 16:9, 1366 x 768 pixel, glossy: yes",2.5,800 Euro
